"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct","dynamic"
14,0,1,"fasihi","book",0.386646268656716,12,1,1,0,0
6,0,1,"jicho","eye",0.210024615384615,7,0,2,0,0
13,0,1,"kitanda","bed",0.368722388059701,69,1,3,0,0
8,0,1,"baba","father",0.157121212121212,59,0,4,0,0
1,0,1,"mbwa","dog",0.18435303030303,29,0,5,0,0
11,0,1,"barua","letter",0.319181818181818,31,1,6,0,0
2,0,1,"basi","bus",0.209593846153846,57,0,7,0,0
3,0,1,"lugha","language",0.211571212121212,25,0,8,0,0
16,0,1,"karamu","party",0.344718181818182,32,1,9,0,0
12,0,1,"chama","society",0.315827272727273,50,1,10,0,0
14,1,1,"fasihi","book",0.386646268656716,12,1,11,0,0
3,1,1,"lugha","language",0.211571212121212,25,0,12,0,0
16,1,1,"karamu","party",0.344718181818182,32,1,13,0,0
1,1,1,"mbwa","dog",0.18435303030303,29,0,14,0,0
8,1,1,"baba","father",0.157121212121212,59,0,15,0,0
13,1,1,"kitanda","bed",0.368722388059701,69,1,16,0,0
6,1,1,"jicho","eye",0.210024615384615,7,0,17,0,0
11,1,1,"barua","letter",0.319181818181818,31,1,18,0,0
2,1,1,"basi","bus",0.209593846153846,57,0,19,0,0
12,1,1,"chama","society",0.315827272727273,50,1,20,0,0
12,2,1,"chama","society",0.315827272727273,50,1,21,0,0
11,2,1,"barua","letter",0.319181818181818,31,1,22,0,0
6,2,1,"jicho","eye",0.210024615384615,7,0,23,0,0
13,2,1,"kitanda","bed",0.368722388059701,69,1,24,0,0
8,2,1,"baba","father",0.157121212121212,59,0,25,0,0
1,2,1,"mbwa","dog",0.18435303030303,29,0,26,0,0
2,2,1,"basi","bus",0.209593846153846,57,0,27,0,0
3,2,1,"lugha","language",0.211571212121212,25,0,28,0,0
16,2,1,"karamu","party",0.344718181818182,32,1,29,0,0
14,2,1,"fasihi","book",0.386646268656716,12,1,30,0,0
1,3,1,"mbwa","dog",0.18435303030303,29,0,31,0,0
11,3,1,"barua","letter",0.319181818181818,31,1,32,0,0
12,3,1,"chama","society",0.315827272727273,50,1,33,0,0
16,3,1,"karamu","party",0.344718181818182,32,1,34,0,0
13,3,1,"kitanda","bed",0.368722388059701,69,1,35,0,0
3,3,1,"lugha","language",0.211571212121212,25,0,36,0,0
8,3,1,"baba","father",0.157121212121212,59,0,37,0,0
6,3,1,"jicho","eye",0.210024615384615,7,0,38,0,0
14,3,1,"fasihi","book",0.386646268656716,12,1,39,0,0
2,3,1,"basi","bus",0.209593846153846,57,0,40,0,0
11,4,1,"barua","letter",0.319181818181818,31,1,41,0,0
13,4,1,"kitanda","bed",0.368722388059701,69,1,42,0,0
12,4,1,"chama","society",0.315827272727273,50,1,43,0,0
8,4,1,"baba","father",0.157121212121212,59,0,44,0,0
16,4,1,"karamu","party",0.344718181818182,32,1,45,0,0
14,4,1,"fasihi","book",0.386646268656716,12,1,46,0,0
3,4,1,"lugha","language",0.211571212121212,25,0,47,0,0
1,4,1,"mbwa","dog",0.18435303030303,29,0,48,0,0
6,4,1,"jicho","eye",0.210024615384615,7,0,49,0,0
2,4,1,"basi","bus",0.209593846153846,57,0,50,0,0
13,5,1,"kitanda","bed",0.368722388059701,69,1,51,0,0
16,5,1,"karamu","party",0.344718181818182,32,1,52,0,0
1,5,1,"mbwa","dog",0.18435303030303,29,0,53,0,0
6,5,1,"jicho","eye",0.210024615384615,7,0,54,0,0
2,5,1,"basi","bus",0.209593846153846,57,0,55,0,0
8,5,1,"baba","father",0.157121212121212,59,0,56,0,0
11,5,1,"barua","letter",0.319181818181818,31,1,57,0,0
14,5,1,"fasihi","book",0.386646268656716,12,1,58,0,0
3,5,1,"lugha","language",0.211571212121212,25,0,59,0,0
12,5,1,"chama","society",0.315827272727273,50,1,60,1,0
22,0,2,"limau","lemon",0.158680303030303,61,0,61,0,1
25,0,2,"kanisa","church",0.399588059701493,51,1,62,0,1
23,0,2,"kuku","chicken",0.183198461538461,11,0,63,0,1
28,0,2,"afisi","office",0.34374,5,1,64,0,1
31,0,2,"tumaini","hope",0.302354545454546,53,1,65,0,1
19,0,2,"dhoruba","storm",0.216794029850746,63,0,66,0,1
27,0,2,"tunda","fruit",0.287647692307692,22,1,67,0,1
17,0,2,"roho","soul",0.199686567164179,44,0,68,0,1
20,0,2,"pombe","beer",0.178725757575757,2,0,69,0,1
30,0,2,"kichwa","head",0.3271421875,46,1,70,0,1
28,1,2,"afisi","office",0.34374,5,1,71,0,1
22,1,2,"limau","lemon",0.158680303030303,61,0,72,0,1
19,1,2,"dhoruba","storm",0.216794029850746,63,0,73,0,1
17,1,2,"roho","soul",0.199686567164179,44,0,74,0,1
31,1,2,"tumaini","hope",0.302354545454546,53,1,75,0,1
30,1,2,"kichwa","head",0.3271421875,46,1,76,0,1
27,1,2,"tunda","fruit",0.287647692307692,22,1,77,0,1
20,1,2,"pombe","beer",0.178725757575757,2,0,78,0,1
23,1,2,"kuku","chicken",0.183198461538461,11,0,79,0,1
25,1,2,"kanisa","church",0.399588059701493,51,1,80,0,1
27,2,2,"tunda","fruit",0.287647692307692,22,1,81,0,1
17,2,2,"roho","soul",0.199686567164179,44,0,82,0,1
20,2,2,"pombe","beer",0.178725757575757,2,0,83,0,1
28,2,2,"afisi","office",0.34374,5,1,84,0,1
19,2,2,"dhoruba","storm",0.216794029850746,63,0,85,0,1
31,2,2,"tumaini","hope",0.302354545454546,53,1,86,0,1
23,2,2,"kuku","chicken",0.183198461538461,11,0,87,0,1
30,2,2,"kichwa","head",0.3271421875,46,1,88,0,1
22,2,2,"limau","lemon",0.158680303030303,61,0,89,0,1
25,2,2,"kanisa","church",0.399588059701493,51,1,90,0,1
27,3,2,"tunda","fruit",0.287647692307692,22,1,91,0,1
22,3,2,"limau","lemon",0.158680303030303,61,0,92,0,1
30,3,2,"kichwa","head",0.3271421875,46,1,93,0,1
31,3,2,"tumaini","hope",0.302354545454546,53,1,94,0,1
17,3,2,"roho","soul",0.199686567164179,44,0,95,0,1
19,3,2,"dhoruba","storm",0.216794029850746,63,0,96,0,1
20,3,2,"pombe","beer",0.178725757575757,2,0,97,0,1
23,3,2,"kuku","chicken",0.183198461538461,11,0,98,0,1
25,3,2,"kanisa","church",0.399588059701493,51,1,99,0,1
28,3,2,"afisi","office",0.34374,5,1,100,0,1
20,4,2,"pombe","beer",0.178725757575757,2,0,101,0,1
25,4,2,"kanisa","church",0.399588059701493,51,1,102,0,1
22,4,2,"limau","lemon",0.158680303030303,61,0,103,0,1
31,4,2,"tumaini","hope",0.302354545454546,53,1,104,0,1
30,4,2,"kichwa","head",0.3271421875,46,1,105,0,1
28,4,2,"afisi","office",0.34374,5,1,106,0,1
23,4,2,"kuku","chicken",0.183198461538461,11,0,107,0,1
19,4,2,"dhoruba","storm",0.216794029850746,63,0,108,0,1
17,4,2,"roho","soul",0.199686567164179,44,0,109,0,1
27,4,2,"tunda","fruit",0.287647692307692,22,1,110,0,1
17,5,2,"roho","soul",0.199686567164179,44,0,111,0,1
27,5,2,"tunda","fruit",0.287647692307692,22,1,112,0,1
31,5,2,"tumaini","hope",0.302354545454546,53,1,113,0,1
28,5,2,"afisi","office",0.34374,5,1,114,0,1
23,5,2,"kuku","chicken",0.183198461538461,11,0,115,0,1
22,5,2,"limau","lemon",0.158680303030303,61,0,116,0,1
20,5,2,"pombe","beer",0.178725757575757,2,0,117,0,1
19,5,2,"dhoruba","storm",0.216794029850746,63,0,118,0,1
25,5,2,"kanisa","church",0.399588059701493,51,1,119,0,1
30,5,2,"kichwa","head",0.3271421875,46,1,120,0,1
